USER_ID,SITE_NAME,POSA_CONTINENT,USER_LOCATION_COUNTRY,USER_LOCATION_REGION
5,2,3,66,174
52,2,3,66,392
94,2,3,66,294
115,2,3,154,196
127,34,3,205,155
129,2,3,66,174
152,2,3,66,442
195,2,3,66,442
216,2,3,66,363
227,2,3,66,184
251,34,3,66,318
289,2,3,66,363
298,2,3,66,356
329,2,3,66,314
386,2,3,66,442
392,2,3,149,290
393,2,3,66,174
398,2,3,66,331
400,2,3,66,184
404,11,3,5,10
469,11,3,131,322
511,2,3,0,147
528,11,3,205,354
614,2,3,66,174
621,11,3,205,385
652,34,3,133,20
656,2,3,66,363
694,2,3,66,220
699,2,3,198,408
728,2,3,66,448
752,2,3,66,174
768,26,0,215,646
772,2,3,66,442
820,2,3,66,318
835,2,3,66,153
866,2,3,66,226
906,2,3,66,174
976,2,3,66,348
983,23,1,1,219
985,37,1,69,993
992,24,2,3,50
993,24,2,3,50
1009,10,0,182,400
1011,2,3,66,174
1021,8,4,77,824
1024,37,1,69,793
1042,33,2,194,38
1067,2,3,66,448
1075,2,3,66,442
1114,2,3,71,0
1116,24,2,46,244
1142,33,2,66|194,38|189
1150,2,3,66,174
1166,2,3,0,203
1167,2,3,168,45
1171,2,3,66,442
1186,2,3,188,294
1223,8,4,77,824
1240,24,2,3,50|64
1242,24,2,3,50
1244,24,2,231,68
1264,2,3,66,311|314
1291,24,2,3,50
1314,8,4,77,824
1318,24,2,70,47
1324,24,2,3,50
1334,2,3,66,189
1341,13,1,46,347
1355,23,1,1,318
1357,2,3,186,347|405
1361,37,1,69,761
1363,24,2,3,40
1380,37,1,69,566
1398,2,3,63,229
1399,2,3,66,447
1405,15,1,55,25
1419,24,2,3,77
1457,24,2,3,64
1462,28,1,66,348
1474,30,4,195,597
1504,24,2,3,77
1515,18,2,119,0
1535,2,3,66,314
1576,24,2,3,64
1610,2,3,66,337
1629,2,3,19,38
1640,13,1,46,172
1643,25,2,23,78
1650,25,2,23,48
1671,15,1,55,36
